epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8480.7,0.10055,0.34182,0.91676,0.99448,0.99185,0.99478,0.99478,0.1505,0.18084,0.22878,0.0005941,0.0005941,0.0005941
43,8684.74,0.10013,0.33722,0.9151,0.99441,0.99494,0.99487,0.99487,0.1286,0.17805,0.20514,0.0005842,0.0005842,0.0005842
44,8872.48,0.09992,0.33378,0.91498,0.99205,0.99734,0.99485,0.99483,0.12905,0.1665,0.20016,0.0005743,0.0005743,0.0005743
45,9070.04,0.09846,0.33336,0.91474,0.99337,0.99716,0.99491,0.99489,0.15652,0.20089,0.23164,0.0005644,0.0005644,0.0005644
46,9262.32,0.09616,0.3332,0.91391,0.99188,0.99653,0.99483,0.99482,0.14965,0.20242,0.22148,0.0005545,0.0005545,0.0005545
47,9458.54,0.09606,0.33031,0.91467,0.99752,0.99306,0.99492,0.99486,0.15806,0.19921,0.23454,0.0005446,0.0005446,0.0005446
48,9649.04,0.09399,0.32243,0.91246,0.99392,0.99586,0.99493,0.99486,0.16308,0.21004,0.24322,0.0005347,0.0005347,0.0005347
49,9836.95,0.09344,0.31679,0.91276,0.99474,0.99526,0.99486,0.99481,0.14534,0.19118,0.2249,0.0005248,0.0005248,0.0005248
50,10025.7,0.0928,0.31587,0.91221,0.99357,0.99581,0.9949,0.99484,0.13941,0.18226,0.21507,0.0005149,0.0005149,0.0005149
51,10212.8,0.09273,0.31768,0.91359,0.99408,0.99641,0.99492,0.99488,0.13792,0.1819,0.21042,0.000505,0.000505,0.000505
52,10400.1,0.09358,0.30848,0.91275,0.99441,0.99599,0.99493,0.99488,0.14309,0.18927,0.21183,0.0004951,0.0004951,0.0004951
53,10590.5,0.09144,0.315,0.91268,0.99537,0.99482,0.99488,0.99486,0.15357,0.18973,0.22602,0.0004852,0.0004852,0.0004852
54,10786.1,0.09048,0.31185,0.91188,0.99573,0.99406,0.99497,0.99494,0.15263,0.19063,0.22496,0.0004753,0.0004753,0.0004753
55,10979.4,0.08915,0.30717,0.91187,0.99576,0.99426,0.99496,0.99494,0.14902,0.18493,0.21905,0.0004654,0.0004654,0.0004654
56,11173.7,0.0881,0.30548,0.91176,0.99542,0.9955,0.99493,0.9949,0.1463,0.17631,0.21548,0.0004555,0.0004555,0.0004555
57,11365.1,0.08742,0.30114,0.91079,0.99568,0.99533,0.99492,0.99488,0.15136,0.17991,0.2248,0.0004456,0.0004456,0.0004456
58,11556.5,0.08593,0.29528,0.91048,0.99564,0.99485,0.9949,0.99487,0.15205,0.18022,0.22436,0.0004357,0.0004357,0.0004357
